类型,问题,选项1,选项2,选项3,选项4,正确答案
single,单选题：（     ）对食品生产经营者生产经营食品的安全负责。,食品安全监管部门,行业协会,消费者,食品生产经营者,D
single,单选题：（ ）是供人食用或者饮用的成品和原料，以及按照传统既是食品又是中药材的物品，但是不包括以治疗为目的的物品。,农产品,食品,产品,食用农产品,B
single,单选题：（）对其销售的农产品，应当建立健全进货检查验收制度。,农产品销售企业,农产品销售个人,农产品生产企业,农民专业合作社,A
single,单选题：（）广告不得含有表示功效、安全性的断言或者保证、不得涉及疾病预防、治疗功能。,保健食品,特殊食品,药品,特殊膳食食品,A
single,单选题：（）是食品安全第一责任人。,政府,市场监管部门,农业部门,生产经营者,D
single,单选题：（）应当按照规定设立或者委托检测机构，对进场销售的农产品质量安全状况进行抽查检测。,农产品销售个人,农产品生产企业,农民专业合作社,农产品批发市场,D
single,单选题：（）应当对其生产经营的农产品质量安全负责。,农产品生产经营者,农业农村部,市场监管部门,政府,A
single,单选题：《食品安全国家标准 酱腌菜》（GB 2714-2015）为（）标准。,推荐性,强制性,可选择执行,地方,B
single,单选题：《中国人民共和国食品安全法》规定，发生食品安全事故潜在风险的，应当立即停止食品生产经营活动，并向（）食品安全监督管理部门报告。,所在地,所在地上一级,国家,县级以上,D
single,单选题：《中华人民共和国标准化法》规定，对满足基础通用、与强制性国家标准配套、对各有关行业起引领作用等需要的技术要求，可以制定（）。,团体标准,企业标准,行业标准,推荐性国家标准,D
single,单选题：《中华人民共和国动物防疫法》规定了动物疫病的预防、控制，动物和动物产品的检疫等内容，为食品生产企业（）畜禽肉类原料提供依据。,采集,采购、验收,进料、投料,生产,B
single,单选题：《中华人民共和国反食品浪费法》规定，（）应当采取措施防止食品浪费。,农产品销售者,餐饮服务经营者,食品超市,农贸市场,B
single,单选题：《中华人民共和刑法》规定，生产、销售不符合食品安全标准的食品，对人体健康造成严重危害或者有其他严重情节的，处（）有期徒刑，并处罚金。,三年以上五年以下有期徒刑,三年以上七年以下,三年以下有期徒刑,五年以上七年以下有期徒刑,B
single,单选题：《中华人民共和刑法》规定，生产、销售不符合食品安全标准的食品，足以造成严重食物中毒事故或者其他严重食源性疾病的，处（）或者拘役，并处罚金。,三年以上五年以下有期徒刑,五年以上七年以下有期徒刑,三年以下有期徒刑,一年以下有期徒刑,C
single,单选题：《中华人民共和刑法》规定，在生产、销售的食品中掺入有毒、有害的非食品原料的，对人体健康造成严重危害或者有其他严重情节的，处（）有期徒刑，并处罚金,三年以上七年以下,三年以下有期徒刑,五年以上七年以下有期徒刑,五年以上十年以下,D
single,单选题：《中华人民共和刑法》规定，在生产、销售的食品中掺入有毒、有害的非食品原料的，或者销售明知掺有有毒、有害的非食品原料的食品的，处（）有期徒刑，并处罚金；,五年以下,三年以上七年以下,三年以下有期徒刑,五年以上七年以下有期徒刑,A
single,单选题：餐饮服务项目中的（  ）仅限于中央厨房申请。,生食类食品制售,自制饮品销售,半成品制售,冷食类食品制售,C
single,单选题：根据《中华人民共和国食品安全法》规定，为贯彻落实食品安全法，切实加强对食品安全工作的领导，（）设立食品安全委员会，其职责由国务院规定。,全国人大,全国政协,国务院,国家市场监督管理总局,C
single,单选题：根据食品安全风险的严重和紧急程度，食品召回分为（）级。,二,三,四,五,B
single,单选题：国家对食品生产经营实行（  ）制度。,许可,备案,行业管理,注册,A
single,单选题：国家对食品生产实行（）制度，从事食品生产应当依法取得许可。,认证,许可,注册,备案,B
single,单选题：国家实行食盐（）制度。,市场化生产,许可生产,定点生产,备案生产,C
single,单选题：国家实行食盐（）制度。,市场化批发,许可批发,定点批发,备案批发,C
single,单选题：国务院设立食品安全委员会，其职责由（）规定。,全国人大,全国政协,国务院,国家市场监督管理总局,C
single,单选题：监控是指按照预设的方式和参数进行观察或测定，以评估控制环节是否处于（）状态。,稳定,良好,活跃,受控,D
single,单选题：拟从事仅销售预包装食品活动的，在办理市场主体登记注册时，可以一并进行仅销售预包装食品备案，并提交（）。,营业执照,仅销售预包装食品备案信息采集表,设备平面布局图,产品标签说明书样稿,B
single,单选题：企业食品安全管理人员中从事食品安全管理具体工作的是：,企业主要负责人,食品安全总监,食品安全员,以上均是,C
single,单选题：企业食品安全管理人员中对企业食品安全工作全面负责的是：,企业主要负责人,食品安全总监,食品安全员,以上均是,A
single,单选题：企业食品安全管理人员中起到协助做好食品安全管理工作的是：,企业主要负责人,食品安全总监,食品安全员,以上均是,B
single,单选题：企业主要负责人每月至少听取（）次食品安全管理工作情况汇报。,1,2,3,4,A
single,单选题：如果所采购的原料在现有食品安全标准体系中尚未制定相应的产品标准，应按照通用食品安全标准进行（）。,退货,留样,验收或检验,销毁,C
single,单选题：乳制品生产企业应当对出厂的乳制品（）检验，并保存检验报告，留取样品。,半年,每月,每年,逐批,D
single,单选题：生产、销售不符合食品安全标准的食品，足以造成严重食物中毒事故或者其他严重食源性疾病的，处（）有期徒刑或者拘役，并处罚金。,两年以下,三年以下,五年以下,十年以下,B
single,单选题：生产不符合食品安全标准的食品，消费者除要求赔偿损失外，还可以向食品生产者要求支付（   ）的赔偿金；增加赔偿的金额不足一千元的，为一千元。但是，食品的标签、说明书存在不影响食品安全且不会对消费者造成误导的瑕疵的除外。,价款十倍或者损失三倍,价款十倍或者损失十倍,价款三倍或者损失十倍,价款三倍或者损失三倍,A
single,单选题：食品安全标准是食品安全法规定的（）的标准。,推荐执行,建议执行,可以执行,强制执行,D
single,单选题：食品安全管理链条长、环节多，需要建立从农田到餐桌的全过程管理制度，体现的基本原则是：,预防为主,风险管理,全程控制,社会共治,C
single,单选题：食品安全是指食品无毒、无害，（），对人体不造成任何急性、亚急性或者慢性危害。,可治疗疾病,符合应当有的营养要求,营养丰富,无营养要求,B
single,单选题：食品安全总监或者食品安全员每周至少组织（）次风险隐患排查。,1,2,3,4,A
single,单选题：食品企业标准是由（ ）制定，并由企业法人代表或其授权人批准、发布的食品安全标准。,企业所在地人大,食品企业自身,企业所在地政府,企业所在地政协,B
single,单选题：食品生产经营监督检查结果对消费者有重要影响的，食品生产经营者应当按照规定在食品生产经营场所醒目位置张贴或者公开展示监督检查结果记录表，并保持至（  ）。,一个月后,三个月后,半年后,下次监督检查,D
single,单选题：食品生产企业应对照相应食品安全标准规定，结合各类食品（），采取相适应的贮存、运输方式。,属性,特征,包装,价格,B
single,单选题：食品生产企业有食品安全法规定的违法情形，除依照食品安全法的规定给予处罚外，有以下哪些情形的，将对单位的法定代表人、主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上10倍以下罚款？,故意实施违法行为,违法行为性质恶劣,违法行为造成严重后果,以上都对,D
single,单选题：食品生产许可证有效期内，当需要变更食品生产许可证载明的许可事项时，食品生产者应当在变化后（   ）个工作日内向原发证的市场监督管理部门提出变更申请。,5,10,20,30,B
single,单选题：食品生产者采购农产品等食品原料，应当依照（）的规定查验许可证和合格证明。,《中华人民共和国食品安全法》,《中华人民共和国农产品质量安全法》,《中华人民共和国标准化法》,《中华人民共和国产品质量法》,A
single,单选题：食品生产者在生产经营过程中违反国家行政法律规范的，应当追究相应的行政法律责任。食品生产者可能承担的行政法律责任主要是（）。,刑事处罚,民事处罚,行政处罚,以上都对,C
single,单选题：食品添加剂，指为改善食品品质和色、香、味以及为防腐、保鲜和加工工艺的需要而加入食品中的（）物质。,人工,天然,人工合成或天然,化学,C
single,单选题：食品添加剂在改善食品的(     )等方面起到了极为重要的作用。,色,香,味,以上都是,D
single,单选题：食用农产品是指（）中获得的供人食用的植物、动物、微生物及其产品。,工业活动,农业活动,生产活动,人类活动,B
single,单选题：食源性疾病、食品污染等源于食品，对人体健康有危害或者可能有危害的事故是指（）。,食品污染事故,食品安全事故,安全事故,食品事故,B
single,单选题：市场监督管理部门根据监督管理工作需要以及问题线索等，对食品生产经营者依法开展的不预先告知的监督检查属于（）,日常监督检查（含“双随机”抽查检查）,飞行检查,体系检查,督导检查,B
single,单选题：市场监督管理部门以风险防控为导向，对特殊食品、高风险大宗食品生产企业和大型食品经营企业等的质量管理体系执行情况依法开展的系统性监督检查属于（）。,日常监督检查（含“双随机”抽查检查）,飞行检查,体系检查,督导检查,C
single,单选题：市级、县级市场监督管理部门按照年度食品生产经营监督检查计划，对本行政区域内食品生产经营者开展的常规性检查属于（）。,日常监督检查（含“双随机”抽查检查）,飞行检查,体系检查,督导检查,A
single,单选题：特殊食品包括（）、特殊医学用途配方食品和婴幼儿配方食品等。,绿色食品,无公害食品,保健食品,有机食品,C
single,单选题：为了保证（）， 保障公众身体健康和生命安全，制定《中华人民共和国食品安全法》。,食品卫生,经济发展,食品安全,食品质量,C
single,单选题：下列不属于《中国人民共和国食品安全法》明确的食品安全工作的四个基本原则的是：,预防为主,风险管理,过程控制,社会共治,C
single,单选题：现行《中华人民共和国食品安全法》为（）年修正。,2021,2015,2018,2023,A
single,单选题：以下不属于生物性污染的是？,微生物,毛发,寄生虫,昆虫,B
single,单选题：以下哪类人员负责每日根据风险管控清单进行检查，形成《每日食品安全检查记录》？,食品安全员,食品安全总监,企业主要负责人,生产组长,A
single,单选题：以下属于检验方法与规程标准的是？,《食品安全国家标准 食品中污染物限量》（GB 2762）,《食品安全国家标准 谷物加工卫生规范》（GB 13122）,《食品安全国家标准 食品接触材料及制品通用安全要求》（GB 4806.1）,《食品安全国家标准 食品中苯酰胺类农药残留量的测定 气相色谱-质谱法》（GB 23200.72）,D
single,单选题：以下属于通用标准的是？,《食品安全国家标准 食品生产通用卫生规范》（GB 14881）,《食品安全国家标准 蛋与蛋制品》（GB 2749）,《食品安全国家标准 食品添加剂使用标准》（GB 2760）,《食品安全国家标准 食品微生物学检验 沙门氏菌检验》（GB 4789.4）,C
single,单选题：因食品安全犯罪被判处有期徒刑以上刑罚的人员，（）担任食品安全总监、食品安全员。,可以,终身不得,表现良好可以,某些特殊情况下可以,B
single,单选题：因食品安全违法被吊销许可证的企业，其法定代表人、直接负责的主管人员和其他直接责任人员，自处罚决定作出之日起（）年内不得担任食品安全总监、食品安全员。,2年,3年,4年,5年,D
single,单选题：与食品安全相关的行政法规有（ ）。,《食品安全法实施条例》,《食品销售指南》,《餐饮服务食品安全操作规范》,《农产品经营指南》,A
single,单选题：在生产、销售的食品中掺入有毒、有害的非食品原料的，或者销售明知掺有有毒、有害的非食品原料的食品的，对人体健康造成严重危害或者有其他严重情节的，处（）有期徒刑，并处罚金。,一年以上十年以下,一年以上十五年以下,五年以上十年以下,五年以上十五年以下,C
single,单选题：组织开展食品安全风险监测评估，依法制定并公布食品安全标准的是：,国务院食品安全委员会,食品安全监督管理部门,卫生行政部门,地方政府,C
single,单选题：作为国务院食品安全工作的高层次议事协调机构的是：,国务院食品安全委员会,食品安全监督管理部门,卫生行政部门,地方政府,A
多,多选题：（）、（）应当根据质量安全控制要求自行或者委托检测机构对农产品质量安全进行检测。,农产品生产企业,农民专业合作社,农业社会化服务组织,销售农产品的个人,"A,B"
多,多选题：《关于办理危害食品安全刑事案件适用法律若干问题的解释》规定，生产、销售不符合食品安全标准的食品，具有下列（）情形的，应当认定为刑法第一百四十三条规定的“对人体健康造成严重危害”。,造成轻伤以上伤害的,造成轻度残疾或者中度残疾的,造成器官组织损伤导致一般功能障碍或者严重功能障碍的,造成十人以上严重食物中毒或者其他严重食源性疾病的,"A,B,C,D"
多,多选题：《关于办理危害食品安全刑事案件适用法律若干问题的解释》规定，生产、销售不符合食品安全标准的食品，具有下列（）情形的，应当认定为刑法第一百四十三条规定的“后果特别严重”。,致人死亡或者重度残疾的,造成三人以上重伤、中度残疾或者器官组织损伤导致严重功能障碍的,造成十人以上轻伤、五人以上轻度残疾或者器官组织损伤导致一般功能障碍的,造成三十人以上严重食物中毒或者其他严重食源性疾病的,"A,B,C,D"
多,多选题：《关于办理危害食品安全刑事案件适用法律若干问题的解释》规定，生产、销售不符合食品安全标准的食品，具有下列（）情形的，应当认定为刑法第一百四十三条规定的“足以造成严重食物中毒事故或者其他严重食源性疾病”。,含有严重超出标准限量的致病性微生物、农药残留、兽药残留、重金属、污染物质以及其他危害人体健康的物质的,属于病死、死因不明或者检验检疫不合格的畜、禽、兽、水产动物及其肉类、肉类制品的,属于国家为防控疾病等特殊需要明令禁止生产、销售的,婴幼儿食品中生长发育所需营养成分严重不符合食品安全标准的,"A,B,C,D"
多,多选题：《国务院关于加强食品等产品安全监督管理的特别规定》规定，生产经营者不再符合法定条件、要求，继续从事生产经营活动的，（）。,由原发证部门吊销许可证照,在当地主要媒体上公告被吊销许可证照的生产经营者名单,构成非法经营罪或者生产、销售伪劣商品罪等犯罪的，依法追究刑事责任,追究主要负责人责任,"A,B,C"
多,多选题：《企业落实食品安全主体责任监督管理规定》（60号令）的适用人员包括：,食品生产经营企业主要负责人,食品安全总监,食品安全员,服务人员,"A,B,C"
多,多选题：《企业落实食品安全主体责任监督管理规定》的主要要求有：,配备食品安全管理人员,健全企业食品安全责任体系,建立风险防控制度,明确相应法律责任,"A,B,C,D"
多,多选题：《食品生产许可管理办法》适用于食品生产许可的（）。,申请,受理,审查,决定及其监督检查,"A,B,C,D"
多,多选题：《中华人民共和标准化法》规定，企业应当公开其执行的强制性标准、推荐性标准、团体标准或者企业标准的（）和（）。,编号,名称,年代号,制定单位,"A,B"
多,多选题：《中华人民共和标准化法》规定，推荐性（）、（）、（）、团体标准、企业标准的技术要求不得低于强制性国家标准的相关技术要求。,国家标准,行业标准,地方标准,推荐性标准,"A,B,C"
多,多选题：《中华人民共和国产品质量法》规定，对于生产、销售不符合保障人体健康和人身、财产安全的（）、（）的产品的，责令停止生产、销售，没收违法生产、销售的产品，,地方标准,国家标准,行业标准,团体标准,"B,C"
多,多选题：《中华人民共和国广告法》规定，广告不得含有虚假或者引人误解的内容，不得（）、（）消费者。,诱导,欺骗,误导,欺诈,"B,C"
多,多选题：《中华人民共和国食品安全法》是为了（），（）和（）而制定。,保证食品安全,保障公众身体健康,生命安全,财产安全,"A,B,C"
多,多选题：《中华人民共和国食品安全法》中关于食品生产企业法律责任追究的条款中涉及到的行政处罚种类有（）。,警告、通报批评；罚款、没收违法所得、没收非法财务,责令停产停业、吊销许可证、降低资质等级、吊销许可证件,限制开展生产经营活动、责令停产停业、责令关闭、限制从业,行政拘留；法律、行政法规规定的其他行政处罚,"A,B,C,D"
多,多选题：《中华人民共和国食品安全法实施条例》规定的内容有（）。,罚款到人的情形,属于情节严重的具体情形,主动减轻、清除食品安全的，从轻或减轻处罚的情形,食品安全监管部门和公安机关的协作机制,"A,B,C,D"
多,多选题：餐饮服务经营者应主动对消费者进行防止食品浪费（）（）,提示,警示,提醒,警告,"A,C"
多,多选题：从事生猪产品销售、肉食品生产加工的单位和个人以及餐饮服务经营者、集中用餐单位生产经营的生猪产品，经（）和（）合格的生猪产品。,检查,肉品品质检验合格,检疫,肉制品检疫合格,"B,C"
多,多选题：地方政府规章一般规定了（）等小微业态食品生产经营主体的基本要求和资质条件，许可、登记、备案形式和要求，小作坊加工食品正负面清单，监管事权，以及相关主体加工的食品包装标签等相关内容。,食品小作坊,食品摊贩,小餐饮,小经营店,"A,B,C,D"
多,多选题：发生食品安全事故的单位应当对导致或者可能导致食品安全事故的（）等采取封存等控制措施。,食品及原料,工具,设备,设施,"A,B,C,D"
多,多选题：根据《企业落实食品安全主体责任监督管理规定》要求，食品生产企业应当制定食品安全风险管控清单，建立健全（）工作制度和机制。,日管控,周排查,年回顾,月调度,"A,B,D"
多,"多选题：集中交易市场开办者应当查验入场食用农产品的（  ），与入场销售者签订食用农产品质量安全协议，列明违反食品安全法律法规规定的退市条款。
",进货凭证,产品质量合格凭证,生产者姓名,销售者姓名,"A,B"
多,多选题：加工过程中所用的原料已改变为其他成分（如酒、酱油、食醋等发酵产品）时，食品标签上可用（）代替“配料”、“配料表”。,基料,原料,原料与辅料,食品成分,"B,C"
多,多选题：进入新发展阶段，各类食品生产经营企业应进一步强化（）意识、（）意识，认真落实食品安全法律法规要求，遵循风险管理规律，建立健全企业食品安全管理制度。,经济发展,主体责任,法律,法规,"B,C"
多,多选题：经营者提供的商品或者服务不符合质量要求的，消费者可以依照国家规定、当事人约定（），或者要求经营者履行（）、（）等义务。,退货,更换,换货,修理,"A,B,D"
多,多选题：经营者应当标明其真实名称和标记，向消费者提供有关商品或者服务的（）、（）、（）、（）等信息。,质量,性能,用途,有效期限,"A,B,C,D"
多,多选题：农产品批发市场发现不符合农产品质量安全标准的，应当要求销售者立即停止销售，并向所在地（）、（）等部门报告。,市场监督管理,林业,农业农村,畜牧,"A,C"
多,多选题：企业应当公开其执行的强制性标准、推荐性标准、团体标准或者企业标准的哪些信息？,适用范围,质量指标,编号,名称,"C,D"
多,多选题：企业在执行日管控、周排查、月调度制度和机制的基础上，至少还需结合生产实际建立并落实以下哪些制度？,人员管理制度和原料控制制度,生产过程控制制度和产品检验制度,不合格品管理及不安全食品召回制度,食品安全事故处置方案,"A,B,C,D"
多,多选题：全程控制是指建立从农田到餐桌的全过程管理制度，建立（）等制度。,原料控制,过程控制,检验控制,生产销售记录,"A,B,C,D"
多,多选题：乳制品生产企业对召回的乳制品应当（）等措施，防止其再次流入市场。,采取销毁,改良后重新销售,无害化处理,作为其他食品原料,"A,C"
多,多选题：乳制品生产企业发现其生产的乳制品不符合乳品质量安全国家标准、存在危害人体健康和生命安全危险或者可能危害婴幼儿身体健康或者生长发育的，应当（）。,立即停止生产,报告有关主管部门，告知销售者、消费者,召回已经出厂、上市销售的乳制品,记录召回情况,"A,B,C,D"
多,多选题：乳制品生产企业禁止性行为有（）。,向未取得生鲜乳收购许可证的单位和个人购进生鲜乳,购进兽药等化学物质残留超标的生鲜乳,购进含有重金属等有毒有害物质的生鲜乳,购进含有致病性的寄生虫和微生物、生物毒素以及其他不符合乳品质量安全国家标准的生鲜乳,"A,B,C,D"
多,多选题：生产日期指食品成为最终产品的日期，也包括（）日期，即将食品装入（灌入）包装物或容器中，形成最终销售单元的日期。,出厂,包装,灌装,运输,"B,C"
多,多选题：生产者依照《中华人民共和国产品质量法》规定承担产品质量责任，禁止（）。,伪造或者冒用认证标志等质量标志,伪造产地，伪造或者冒用他人的厂名、厂址,在生产的产品中掺杂、掺假、以假充真,以次充好，以不合格产品冒充合格产品,"A,B,C,D"
多,多选题：食品安全法律主要包括？,食品安全法,农产品质量安全法,动物防疫法,产品质量法,"A,B,C,D"
多,多选题：食品安全管理制度应当（）。,目标明确,内容完备,措施具体,责任清晰,"A,B,C,D"
多,多选题：食品安全国家标准体系包括（）等。,通用标准,规范标准,产品标准,检验方法与规程标准,"A,B,C,D"
多,多选题：食品安全社会共治是指调动社会各方力量，包括（），共同参与食品安全工作，形成食品安全社会共管共治格局。,政府监管部门,食品生产经营者,行业协会,消费者协会乃至公民个人,"A,B,C,D"
多,多选题：食品安全员按照职责要求对食品安全总监或者企业主要负责人负责，从事食品安全管理具体工作，承担下列职责：,督促落实食品生产经营过程控制要求,检查食品安全管理制度执行情况，管理维护食品安全生产经营过程记录材料，按照要求保存相关资料,对不符合食品安全标准的食品或者有证据证明可能危害人体健康的食品以及发现的食品安全风险隐患，及时采取有效措施整改并报告,记录和管理从业人员健康状况、卫生状况。配合有关部门调查处理食品安全事故,"A,B,C,D"
多,多选题：食品安全总监按照职责要求直接对本企业主要负责人负责，协助主要负责人做好食品安全管理工作，承担下列职责（）。,组织拟定食品安全管理制度，督促落实食品安全责任制，明确从业人员健康管理、供货者管理、进货查验、生产经营过程控制、出厂检验、追溯体系建设、投诉举报处理等食品安全方面的责任要求,组织拟定并督促落实食品安全风险防控措施，定期组织食品安全自查，评估食品安全状况，及时向企业主要负责人报告食品安全工作情况并提出改进措施，阻止、纠正食品安全违法行为，按照规定组织实施食品召回,组织拟定食品安全事故处置方案，组织开展应急演练，落实食品安全事故报告义务，采取措施防止事故扩大,负责管理、督促、指导食品安全员按照职责做好相关工作，组织开展职工食品安全教育、培训、考核；接受和配合监督管理部门开展食品安全监督检查等工作，如实提供有关情况；其他食品安全管理责任,"A,B,C,D"
多,多选题：食品标签是指食品包装上的（）。,文字,图形,符号,一切说明物,"A,B,C,D"
多,"多选题：食品生产经营企业等单位有食品安全法规定的违法情形，除依照食品安全法的规定给予处罚外，有下列情形之一的，对单位的法定代表人、主要负责人、直接负责的主管人员和其他直接责任人员处以其上一年度从本单位取得收入的1倍以上10倍以下罚款：
","故意实施违法行为
",违法行为性质恶劣,食品安全总监、食品安全员已经依法履职尽责的,违法行为造成严重后果,"A,B,D"
多,多选题：食品生产经营者发现其生产经营的食品属于不安全食品的，应当（  ）。,立即停止生产经营,采取通知或者公告的方式告知相关食品生产经营者停止生产经营、消费者停止食用,采取必要的措施防控食品安全风险,主动停产停业,"A,B,C"
多,多选题：食品生产经营者配合监督检查工作的义务包括（  ）。,开放食品生产经营场所,回答相关询问,提供相关合同、票据、账簿等材料,协助生产经营现场检查和抽样检验,"A,B,C,D"
